City,Cost_of_Living_Index,Rent_Index,Cost_of_Living_Plus_Rent_Index,Groceries_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Country,Continent,City_Without_Country
"Hamilton, Bermuda",145.43,110.87,128.76,143.47,158.75,112.26,Bermuda,North America,Hamilton
"Zurich, Switzerland",141.25,66.14,105.03,149.86,135.76,142.7,Switzerland,Europe,Zurich
"Geneva, Switzerland",134.83,71.7,104.38,138.98,129.74,130.96,Switzerland,Europe,Geneva
"Basel, Switzerland",130.68,49.68,91.61,127.54,127.22,139.01,Switzerland,Europe,Basel
"Bern, Switzerland",128.03,43.57,87.3,132.7,119.48,112.71,Switzerland,Europe,Bern
"Lausanne, Switzerland",127.5,52.32,91.24,126.59,132.12,127.95,Switzerland,Europe,Lausanne
"Lugano, Switzerland",118.24,52.91,86.73,117.74,122.3,119.86,Switzerland,Europe,Lugano
"Reykjavik, Iceland",123.78,57.25,91.7,118.15,133.19,88.95,Iceland,Europe,Reykjavik
"Singapore, Singapore",91.4,71.89,81.99,83.64,64.4,95.89,Singapore,Asia,Singapore
"Stavanger, Norway",118.61,39.83,80.61,106.09,143.54,118.14,Norway,Europe,Stavanger
"Oslo, Norway",117.23,49.28,84.46,112.42,124.09,102.94,Norway,Europe,Oslo
"Trondheim, Norway",114.22,42.39,79.58,103.5,134.76,108.29,Norway,Europe,Trondheim
"Bergen, Norway",112.31,40.3,77.58,101.79,119.61,99.29,Norway,Europe,Bergen
"Hong Kong, Hong Kong",78.72,79.54,79.12,83.47,56.17,82.86,Hong Kong,Asia,Hong Kong
"Luxembourg, Luxembourg",95.37,61.59,79.08,82.71,109.61,127.42,Luxembourg,Europe,Luxembourg
"Nassau, Bahamas",99.73,40.45,71.14,85.34,104.17,58.69,Bahamas,North America,Nassau
"Copenhagen, Denmark",97.62,50.66,74.97,77.53,121.23,113.31,Denmark,Europe,Copenhagen
"Arhus, Denmark",91.9,34.82,64.37,71.5,102.82,109.47,Denmark,Europe,Arhus
"Aalborg, Denmark",91.17,26.81,60.13,73.79,101.14,106.35,Denmark,Europe,Aalborg
"Doha, Qatar",66.12,66.84,66.46,57.95,65.81,120.86,Qatar,Asia,Doha
"Limerick, Ireland",92.73,27.71,61.37,87.15,82.93,93.93,Ireland,Europe,Limerick
"Dublin, Ireland",89.92,62.13,76.52,73.62,95.64,88.11,Ireland,Europe,Dublin
"Cork, Ireland",82.89,39.97,62.19,67.32,91.87,105.57,Ireland,Europe,Cork
"Galway, Ireland",80.22,34.58,58.21,70.9,81.75,100.11,Ireland,Europe,Galway
"Sydney, Australia",90.77,68.43,80.0,85.02,77.09,118.81,Australia,Oceania,Sydney
"Perth, Australia",86.24,40.5,64.18,80.79,90.63,130.38,Australia,Oceania,Perth
"Adelaide, Australia",86.02,36.56,62.17,82.05,81.67,113.86,Australia,Oceania,Adelaide
"Melbourne, Australia",85.15,44.81,65.7,82.11,77.29,127.15,Australia,Oceania,Melbourne
"Darwin, Australia",84.98,46.52,66.43,82.29,91.79,118.09,Australia,Oceania,Darwin
"Cairns, Australia",84.98,30.59,58.75,84.5,74.96,118.05,Australia,Oceania,Cairns
"Hobart, Australia",82.88,31.46,58.08,81.1,88.26,99.4,Australia,Oceania,Hobart
"Brisbane, Australia",82.17,43.31,63.43,75.42,81.39,130.41,Australia,Oceania,Brisbane
"Canberra, Australia",80.9,45.03,63.6,77.06,79.23,139.38,Australia,Oceania,Canberra
"Newcastle, Australia",77.12,43.45,60.88,76.5,84.01,134.62,Australia,Oceania,Newcastle
"Gold Coast, Australia",74.89,38.76,57.46,74.88,72.35,124.98,Australia,Oceania,Gold Coast
"Seoul, South Korea",87.56,37.17,63.26,107.06,50.88,107.52,South Korea,Asia,Seoul
"Tel Aviv-Yafo, Israel",90.36,51.55,71.65,76.9,97.21,101.36,Israel,Asia,Tel Aviv-Yafo
"Jerusalem, Israel",89.62,38.43,64.93,74.2,96.35,84.17,Israel,Asia,Jerusalem
"Ramat Gan, Israel",82.84,36.93,60.7,67.32,89.36,112.25,Israel,Asia,Ramat Gan
"Haifa, Israel",81.81,20.68,52.33,66.6,91.38,120.61,Israel,Asia,Haifa
"Amsterdam, Netherlands",89.14,58.22,74.23,70.13,95.2,101.7,Netherlands,Europe,Amsterdam
"The Hague (Den Haag), Netherlands",84.97,35.55,61.14,70.25,89.11,106.25,Netherlands,Europe,The Hague (Den Haag)
"Utrecht, Netherlands",83.34,40.23,62.55,68.39,97.89,105.9,Netherlands,Europe,Utrecht
"Rotterdam, Netherlands",82.64,35.28,59.8,63.02,94.81,102.03,Netherlands,Europe,Rotterdam
"Maastricht, Netherlands",80.69,33.35,57.86,70.13,81.68,105.35,Netherlands,Europe,Maastricht
"Eindhoven, Netherlands",78.72,35.2,57.73,63.05,88.51,119.87,Netherlands,Europe,Eindhoven
"Groningen, Netherlands",76.64,30.91,54.59,66.99,87.82,105.46,Netherlands,Europe,Groningen
"Hamilton, New Zealand",88.09,26.98,58.62,81.69,84.97,128.21,New Zealand,Oceania,Hamilton
"Auckland, New Zealand",86.93,46.95,67.65,79.21,72.26,99.37,New Zealand,Oceania,Auckland
"Wellington, New Zealand",80.87,40.42,61.36,77.17,72.02,118.59,New Zealand,Oceania,Wellington
"Christchurch, New Zealand",80.51,30.13,56.21,75.7,78.95,90.4,New Zealand,Oceania,Christchurch
"Kyoto, Japan",100.33,24.58,63.8,118.44,54.59,77.92,Japan,Asia,Kyoto
"Tokyo, Japan",93.81,37.07,66.45,99.67,58.93,106.42,Japan,Asia,Tokyo
"Osaka, Japan",78.5,23.88,52.16,79.2,45.06,109.62,Japan,Asia,Osaka
"Dubai, United Arab Emirates",72.58,66.88,69.83,61.71,67.23,123.71,United Arab Emirates,Asia,Dubai
"Abu Dhabi, United Arab Emirates",64.97,64.25,64.62,54.3,65.93,131.24,United Arab Emirates,Asia,Abu Dhabi
"Sharjah, United Arab Emirates",59.38,29.86,45.15,50.37,43.99,123.32,United Arab Emirates,Asia,Sharjah
"Helsinki, Finland",87.77,40.52,64.98,73.82,96.5,113.87,Finland,Europe,Helsinki
"Tampere, Finland",87.2,28.89,59.08,73.89,96.76,111.28,Finland,Europe,Tampere
"Turku, Finland",82.18,25.55,54.87,69.79,88.89,125.14,Finland,Europe,Turku
"Antwerp, Belgium",88.2,28.06,59.19,79.12,101.67,90.18,Belgium,Europe,Antwerp
"Leuven, Belgium",85.31,29.48,58.38,79.81,86.88,92.44,Belgium,Europe,Leuven
"Gent, Belgium",85.16,26.92,57.07,72.2,94.01,96.27,Belgium,Europe,Gent
"Brussels, Belgium",83.65,35.76,60.55,72.55,96.1,104.35,Belgium,Europe,Brussels
"New York, NY, United States",100.0,100.0,100.0,100.0,100.0,100.0,United States,North America,New York
"San Francisco, CA, United States",97.84,115.36,106.29,107.52,91.06,92.96,United States,North America,San Francisco
"Anchorage, AK, United States",94.99,40.12,68.53,101.18,84.55,124.92,United States,North America,Anchorage
"Honolulu, HI, United States",94.15,62.82,79.04,104.69,82.86,103.08,United States,North America,Honolulu
"Brooklyn, NY, United States",93.79,76.24,85.33,92.73,100.58,87.04,United States,North America,Brooklyn
"Rockville, MD, United States",92.66,64.0,78.84,87.76,74.74,130.79,United States,North America,Rockville
"Bloomington, IN, United States",92.14,33.64,63.93,112.83,75.43,96.92,United States,North America,Bloomington
"Washington, DC, United States",91.94,73.3,82.95,92.74,85.0,120.62,United States,North America,Washington
"Santa Rosa, CA, United States",90.23,58.13,74.75,92.05,78.34,106.77,United States,North America,Santa Rosa
"Arlington, VA, United States",89.2,61.85,76.01,88.51,82.63,120.53,United States,North America,Arlington
"Bellevue, WA, United States",88.85,66.67,78.15,88.43,80.99,73.46,United States,North America,Bellevue
"Seattle, WA, United States",88.04,64.41,76.64,89.85,83.22,144.6,United States,North America,Seattle
"Berkeley, CA, United States",87.82,78.69,83.42,97.88,78.29,115.84,United States,North America,Berkeley
"Boston, MA, United States",87.05,78.72,83.03,88.99,86.2,101.35,United States,North America,Boston
"Charleston, SC, United States",86.19,45.99,66.8,98.41,71.87,115.41,United States,North America,Charleston
"Miami, FL, United States",86.01,63.2,75.01,87.37,95.81,97.81,United States,North America,Miami
"Oakland, CA, United States",85.11,79.57,82.44,88.65,81.38,97.94,United States,North America,Oakland
"New Haven, CT, United States",84.13,47.53,66.48,92.86,86.18,127.41,United States,North America,New Haven
"Irvine, CA, United States",83.73,66.26,75.3,89.49,76.5,139.48,United States,North America,Irvine
"Philadelphia, PA, United States",83.46,48.09,66.4,82.24,79.37,116.06,United States,North America,Philadelphia
"San Jose, CA, United States",82.87,81.81,82.36,85.4,83.12,134.82,United States,North America,San Jose
"Tacoma, WA, United States",82.54,36.82,60.49,88.02,72.46,125.1,United States,North America,Tacoma
"Los Angeles, CA, United States",82.3,68.75,75.77,82.73,82.48,109.01,United States,North America,Los Angeles
"Boulder, CO, United States",82.19,53.8,68.5,86.22,74.92,143.02,United States,North America,Boulder
"Portland, ME, United States",81.6,40.73,61.89,86.96,88.58,113.69,United States,North America,Portland
"Minneapolis, MN, United States",81.46,45.65,64.19,87.48,75.88,131.08,United States,North America,Minneapolis
"Norfolk, VA, United States",81.36,43.59,63.14,90.06,81.31,64.42,United States,North America,Norfolk
"Hartford, CT, United States",80.86,42.15,62.19,78.41,86.26,101.57,United States,North America,Hartford
"Queens, NY, United States",80.77,64.73,73.04,74.39,87.27,113.4,United States,North America,Queens
"Albany, NY, United States",80.19,30.82,56.38,83.35,71.86,139.34,United States,North America,Albany
"Chicago, IL, United States",80.16,56.71,68.85,79.14,77.99,119.17,United States,North America,Chicago
"Jersey City, NJ, United States",79.91,66.0,73.2,79.5,85.95,130.99,United States,North America,Jersey City
"Olympia, WA, United States",79.25,36.06,58.42,77.18,78.7,125.04,United States,North America,Olympia
"Santa Barbara, CA, United States",79.17,71.45,75.45,76.47,87.43,134.38,United States,North America,Santa Barbara
"Eugene, OR, United States",78.94,31.38,56.0,91.86,69.07,109.06,United States,North America,Eugene
"Burlington, VT, United States",78.89,41.89,61.05,82.04,79.41,101.19,United States,North America,Burlington
"Sacramento, CA, United States",78.75,43.34,61.67,80.02,74.2,135.14,United States,North America,Sacramento
"Pittsburgh, PA, United States",78.66,39.02,59.54,76.56,70.89,133.38,United States,North America,Pittsburgh
"Portland, OR, United States",78.45,51.72,65.56,79.56,68.4,125.57,United States,North America,Portland
"Saint Paul, MN, United States",78.37,40.38,60.05,81.15,74.68,97.64,United States,North America,Saint Paul
"Long Beach, CA, United States",78.23,54.98,67.01,82.77,76.98,127.25,United States,North America,Long Beach
"Fort Lauderdale, FL, United States",77.67,51.63,65.11,79.05,77.85,104.35,United States,North America,Fort Lauderdale
"Everett, WA, United States",77.63,42.48,60.68,84.84,70.29,113.75,United States,North America,Everett
"Asheville, NC, United States",77.36,37.85,58.31,84.94,72.18,111.73,United States,North America,Asheville
"Denver, CO, United States",77.31,54.0,66.07,77.48,79.43,130.1,United States,North America,Denver
"Bellingham, WA, United States",77.13,34.7,56.67,79.09,77.88,131.14,United States,North America,Bellingham
"Melbourne, FL, United States",77.09,29.38,54.08,85.53,77.04,128.34,United States,North America,Melbourne
"San Diego, CA, United States",77.01,61.91,69.73,75.09,82.09,142.72,United States,North America,San Diego
"New Orleans, LA, United States",76.64,40.21,59.07,75.15,84.0,116.56,United States,North America,New Orleans
"Orlando, FL, United States",76.63,37.35,57.68,82.77,69.38,129.02,United States,North America,Orlando
"Baltimore, MD, United States",76.57,45.03,61.36,73.92,80.16,116.79,United States,North America,Baltimore
"Tampa, FL, United States",76.53,42.09,59.92,80.64,80.21,144.43,United States,North America,Tampa
"West Palm Beach, FL, United States",76.52,43.11,60.41,79.59,78.92,124.36,United States,North America,West Palm Beach
"Colorado Springs, CO, United States",75.42,31.21,54.1,72.93,76.48,150.89,United States,North America,Colorado Springs
"Charlotte, NC, United States",75.35,40.62,58.6,79.4,73.87,112.72,United States,North America,Charlotte
"Plano, TX, United States",75.32,40.02,58.3,73.93,63.49,101.69,United States,North America,Plano
"Atlanta, GA, United States",74.97,45.83,60.92,75.0,74.81,153.77,United States,North America,Atlanta
"Fayetteville, AR, United States",74.9,24.85,50.76,81.39,69.15,104.92,United States,North America,Fayetteville
"Indianapolis, IN, United States",74.72,35.67,55.89,73.92,74.26,94.22,United States,North America,Indianapolis
"Birmingham, AL, United States",74.64,31.36,53.77,76.12,74.13,134.55,United States,North America,Birmingham
"Augusta, GA, United States",74.29,22.45,49.29,82.42,62.66,100.38,United States,North America,Augusta
"Greensboro, NC, United States",74.1,26.05,50.93,80.28,62.04,141.87,United States,North America,Greensboro
"Greenville, SC, United States",74.08,36.03,55.73,83.74,67.18,127.49,United States,North America,Greenville
"Jacksonville, FL, United States",73.58,32.27,53.66,77.14,73.25,117.13,United States,North America,Jacksonville
"Fort Collins, CO, United States",73.57,42.07,58.38,81.45,61.31,73.23,United States,North America,Fort Collins
"Cleveland, OH, United States",73.47,28.35,51.71,67.52,74.7,146.27,United States,North America,Cleveland
"Milwaukee, WI, United States",73.37,35.5,55.11,71.9,71.59,139.23,United States,North America,Milwaukee
"Saint Petersburg, FL, United States",73.29,41.01,57.72,72.82,75.33,145.31,United States,North America,Saint Petersburg
"Memphis, TN, United States",72.95,27.52,51.04,73.96,70.71,154.91,United States,North America,Memphis
"Syracuse, NY, United States",72.88,30.77,52.57,72.26,67.76,103.63,United States,North America,Syracuse
"Newark, NJ, United States",72.68,40.31,57.07,66.47,77.87,94.1,United States,North America,Newark
"Akron, OH, United States",72.65,21.57,48.02,77.33,63.79,99.21,United States,North America,Akron
"Austin, TX, United States",72.46,49.8,61.53,73.02,75.56,140.39,United States,North America,Austin
"Fresno, CA, United States",72.36,30.94,52.38,72.51,75.89,110.71,United States,North America,Fresno
"Buffalo, NY, United States",72.15,28.94,51.31,69.14,72.72,120.23,United States,North America,Buffalo
"Shreveport, LA, United States",72.07,25.24,49.48,78.42,64.04,76.03,United States,North America,Shreveport
"Nashville, TN, United States",71.88,47.73,60.23,74.28,69.38,125.4,United States,North America,Nashville
"Manchester, NH, United States",71.46,33.61,53.2,76.26,72.86,124.75,United States,North America,Manchester
"Raleigh, NC, United States",71.4,37.42,55.02,78.32,70.58,131.99,United States,North America,Raleigh
"Little Rock, AR, United States",71.29,24.83,48.89,77.24,64.98,132.31,United States,North America,Little Rock
"Richmond, VA, United States",70.98,36.18,54.2,77.66,65.74,133.08,United States,North America,Richmond
